"",".id","X..i..","date","probe.name","probe.type","probe.value","probe.name.1","probe.type.1","probe.value.1","probe.name.2","probe.type.2","probe.value.2","probe.name.3","probe.type.3","probe.value.3","probe.name.4","probe.type.4","probe.value.4","probe.name.5","probe.type.5","probe.value.5","probe.name.6","probe.type.6","probe.value.6","probe.name.7","probe.type.7","probe.value.7","probe.name.8","probe.type.8","probe.value.8","probe.name.9","probe.type.9","probe.value.9","probe.name.10","probe.type.10","probe.value.10","probe.name.11","probe.type.11","probe.value.11","probe.name.12","probe.type.12","probe.value.12","probe.name.13","probe.type.13","probe.value.13","probe.name.14","probe.type.14","probe.value.14","probe.name.15","probe.type.15","probe.value.15","probe.name.16","probe.type.16","probe.value.16","probe.name.17","probe.type.17","probe.value.17","probe.name.18","probe.type.18","probe.value.18","probe.name.19","probe.type.19","probe.value.19","probe.name.20","probe.type.20","probe.value.20","probe.name.21","probe.type.21","probe.value.21","probe.name.22","probe.type.22","probe.value.22"
"1","hostname","apex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","serial","AC6:06929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","timezone","-7.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","record",NA,"03/01/2024 00:00:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","1","Light2_2_2W","pwr","0","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","0","Volt_2","volts","116","44-tmp","Temp","10.9","ORPx3","ORP","0","T3-tmp","Temp","13.3","ORPx4","ORP","0"
"5","record",NA,"03/01/2024 00:10:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","1","Light2_2_2W","pwr","0","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","0","Volt_2","volts","117","44-tmp","Temp","10.8","ORPx3","ORP","0","T3-tmp","Temp","13.3","ORPx4","ORP","0"
"6","record",NA,"03/01/2024 00:20:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","0","Light2_2_2W","pwr","0","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","1","Volt_2","volts","117","44-tmp","Temp","10.8","ORPx3","ORP","0","T3-tmp","Temp","13.3","ORPx4","ORP","0"
"7","record",NA,"03/01/2024 00:30:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","2","Light2_2_2W","pwr","0","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","0","Volt_2","volts","117","44-tmp","Temp","10.8","ORPx3","ORP","0","T3-tmp","Temp","13.3","ORPx4","ORP","0"
"8","record",NA,"03/01/2024 00:40:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","2","Light2_2_2W","pwr","0","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","0","Volt_2","volts","117","44-tmp","Temp","10.7","ORPx3","ORP","0","T3-tmp","Temp","13.2","ORPx4","ORP","0"
"9","record",NA,"03/01/2024 00:50:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","1","Light2_2_2W","pwr","0","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","0","Volt_2","volts","117","44-tmp","Temp","10.7","ORPx3","ORP","0","T3-tmp","Temp","13.2","ORPx4","ORP","0"
"10","record",NA,"03/01/2024 01:00:00","Tmp","Temp","10.5","pH","pH","8.21","Header-tempA","Amps","0.0","Light2_2_2A","Amps","0.0","RetPump_2_3A","Amps","0.0","Algae-airA","Amps","0.0","Skimmer_2_5A","Amps","0.0","Pump_2_6A","Amps","0.0","HUDLS-airA","Amps","0.0","BlankA","Amps","0.0","Header-tempW","pwr","2","Light2_2_2W","pwr","1","RetPump_2_3W","pwr","1","Algae-airW","pwr","0","Skimmer_2_5W","pwr","3","Pump_2_6W","pwr","5","HUDLS-airW","pwr","0","BlankW","pwr","1","Volt_2","volts","117","44-tmp","Temp","10.7","ORPx3","ORP","0","T3-tmp","Temp","13.2","ORPx4","ORP","0"
